Player, Num Table Cards, Captured Cards, Δ Captured Cards, Δ Score
P2, 6, 12, 8, 2
P1, 4, 8, 4, 2
P2, 4, 20, 8, 4
P1, 2, 16, 8, 0
P2, 2, 22, 2, 0
P1, 0, 2, 2, 0
P2, 0, 6, 6, 2
P1, 2, 7, 5, 2
P2, 2, 11, 5, 4
P1, 2, 11, 4, 2
P2, 2, 18, 7, 4
P1, 1, 13, 2, 2
P2, 1, 23, 5, 2
P1, 0, 0, 0, 0
P2, 0, 6, 6, 0
P1, 4, 3, 3, 0
P2, 4, 12, 6, 0
P1, 5, 8, 5, 0
P2, 5, 16, 4, 0
P1, 6, 15, 7, 0
P2, 6, 22, 6, 0
P1, 0, 0, 0, 0
P2, 0, 0, 0, 0
P1, 0, 2, 2, 2
P2, 0, 5, 5, 2
P1, 3, 7, 5, 0
P2, 3, 12, 7, 2
P1, 1, 14, 7, 2
P2, 1, 14, 2, 0
P1, 2, 20, 6, 0
P2, 2, 20, 6, 4
P1, 0, 0, 0, 0
P2, 0, 6, 6, 12
P1, 4, 2, 2, 0
P2, 4, 13, 7, 0
P1, 5, 13, 11, 4
P2, 5, 15, 2, 0
P1, 2, 17, 4, 0
P2, 2, 23, 8, 6
P1, 0, 0, 0, 0
P2, 0, 0, 0, 0
P1, 0, 4, 4, 2
P2, 0, 4, 4, 8
P1, 2, 4, 0, 0
P2, 2, 11, 7, 4
P1, 5, 15, 11, 0
P2, 5, 13, 2, 2
P1, 2, 15, 0, 0
P2, 2, 19, 6, 0
P1, 0, 2, 2, 2
P2, 0, 4, 4, 4
P1, 4, 8, 6, 2
P2, 4, 9, 5, 2
P1, 3, 12, 4, 0
P2, 3, 12, 3, 0
P1, 6, 20, 8, 0
P2, 6, 16, 4, 0
P1, 0, 0, 0, 0
P2, 0, 9, 9, 6
P1, 1, 5, 5, 2
P2, 1, 11, 2, 0
P1, 4, 8, 3, 0
P2, 4, 19, 8, 4
P1, 3, 15, 7, 2
P2, 3, 21, 2, 0
P1, 0, 5, 5, 4
P2, 0, 4, 4, 0
P1, 1, 11, 6, 4
P2, 1, 4, 0, 0
P1, 5, 13, 2, 0
P2, 5, 13, 9, 0
P1, 4, 23, 10, 0
P2, 4, 15, 2, 0
P1, 0, 2, 2, 2
P2, 0, 4, 4, 2
P1, 4, 6, 4, 0
P2, 4, 11, 7, 0
P1, 3, 6, 0, 0
P2, 3, 13, 2, 2
P1, 0, 0, 0, 0
P2, 0, 5, 5, 2
P1, 5, 6, 6, 0
P2, 5, 10, 5, 4
P1, 4, 13, 7, 0
P2, 4, 15, 5, 2
P1, 2, 16, 3, 2
P2, 2, 23, 8, 0
P1, 0, 0, 0, 0
P2, 0, 7, 7, 4
P1, 3, 6, 6, 0
P2, 3, 13, 6, 0
P1, 1, 8, 2, 2
P2, 1, 20, 7, 6
P1, 2, 11, 3, 0
P2, 2, 27, 7, 4
P1, 0, 0, 0, 0
P2, 0, 0, 0, 0
P1, 0, 2, 2, 2
P2, 0, 3, 3, 0
P1, 5, 7, 5, 0
P2, 5, 11, 8, 2
P1, 2, 10, 3, 0
P2, 2, 15, 4, 0
P1, 5, 17, 7, 0
P2, 5, 20, 5, 0
P1, 0, 6, 6, 2
P2, 0, 0, 0, 0
P1, 4, 8, 2, 0
P2, 4, 10, 10, 6
P1, 2, 10, 2, 0
P2, 2, 15, 5, 0
P1, 5, 16, 6, 0
P2, 5, 21, 6, 0
P1, 0, 0, 0, 0
P2, 0, 4, 4, 4
P1, 6, 9, 9, 0
P2, 6, 9, 5, 0
P1, 2, 11, 2, 0
P2, 2, 13, 4, 2
P1, 6, 16, 5, 0
P2, 6, 22, 9, 2
P1, 0, 4, 4, 0
P2, 0, 4, 4, 4
P1, 0, 5, 5, 4
P2, 0, 2, 2, 4
P1, 3, 13, 8, 2
P2, 3, 4, 2, 0
P1, 3, 19, 6, 0
P2, 3, 6, 2, 0
P1, 5, 23, 4, 0
P2, 5, 13, 7, 2
P1, 0, 0, 0, 0
P2, 0, 4, 4, 6
P1, 6, 7, 7, 0
P2, 6, 9, 5, 2
P1, 4, 10, 3, 0
P2, 4, 19, 10, 2
P1, 1, 12, 2, 2
P2, 1, 25, 6, 2
P1, 0, 5, 5, 6
P2, 0, 2, 2, 2
P1, 3, 7, 2, 0
P2, 3, 10, 8, 2
P1, 3, 9, 2, 2
P2, 3, 20, 10, 4
P1, 1, 12, 3, 0
P2, 1, 26, 6, 2
P1, 0, 0, 0, 0
P2, 0, 0, 0, 0
P1, 0, 3, 3, 2
P2, 0, 6, 6, 4
P1, 1, 7, 4, 6
P2, 1, 12, 6, 0
P1, 1, 9, 2, 2
P2, 1, 18, 6, 2
P1, 3, 12, 3, 0
P2, 3, 25, 7, 2
P1, 0, 0, 0, 0
P2, 0, 6, 6, 12
P1, 4, 4, 4, 2
P2, 4, 15, 9, 2
P1, 1, 6, 2, 2
P2, 1, 19, 4, 2
P1, 5, 13, 7, 0
P2, 5, 23, 4, 2
P1, 0, 0, 0, 0
P2, 0, 0, 0, 0
P1, 0, 2, 2, 0
P2, 0, 6, 6, 0
P1, 2, 5, 3, 0
P2, 2, 13, 7, 2
P1, 2, 10, 5, 0
P2, 2, 15, 2, 0
P1, 5, 16, 6, 0
P2, 5, 23, 8, 2
P1, 0, 5, 5, 2
P2, 0, 2, 2, 2
P1, 3, 11, 6, 6
P2, 3, 6, 4, 2
P1, 3, 19, 8, 6
P2, 3, 8, 2, 0
P1, 3, 21, 2, 0
P2, 3, 16, 8, 0
P1, 0, 5, 5, 2
P2, 0, 4, 4, 4
P1, 1, 10, 5, 2
P2, 1, 8, 4, 4
P1, 2, 12, 2, 0
P2, 2, 14, 6, 4
P1, 4, 18, 6, 0
P2, 4, 22, 8, 6
P1, 0, 0, 0, 0
P2, 0, 0, 0, 0
P1, 0, 0, 0, 0
P2, 0, 5, 5, 2
P1, 5, 8, 8, 0
P2, 5, 9, 4, 2
P1, 3, 14, 6, 6
P2, 3, 16, 7, 4
P1, 0, 16, 2, 0
P2, 0, 22, 6, 2
P1, 0, 5, 5, 0
P2, 0, 2, 2, 2
P1, 3, 9, 4, 0
P2, 3, 8, 6, 2
P1, 3, 11, 2, 0
P2, 3, 18, 10, 4
P1, 1, 11, 0, 0
P2, 1, 28, 10, 2
P1, 0, 0, 0, 0
P2, 0, 0, 0, 0
P1, 0, 3, 3, 2
P2, 0, 4, 4, 4
P1, 3, 6, 3, 0
P2, 3, 7, 3, 2
P1, 7, 14, 8, 2
P2, 7, 12, 5, 6
P1, 4, 17, 3, 2
P2, 4, 20, 8, 0
P1, 0, 0, 0, 0
P2, 0, 6, 6, 8
P1, 4, 2, 2, 0
P2, 4, 15, 9, 4
P1, 3, 6, 4, 0
P2, 3, 21, 6, 4
P1, 3, 12, 6, 2
P2, 3, 24, 3, 0
P1, 0, 0, 0, 0
P2, 0, 0, 0, 0
P1, 0, 0, 0, 0
P2, 0, 8, 8, 6
P1, 2, 0, 0, 0
P2, 2, 18, 10, 4
P1, 2, 2, 2, 0
P2, 2, 23, 5, 2
P1, 5, 5, 3, 0
P2, 5, 32, 9, 4
P1, 0, 6, 6, 2
P2, 0, 2, 2, 0
P1, 2, 8, 2, 0
P2, 2, 7, 5, 0
P1, 5, 16, 8, 2
P2, 5, 9, 2, 0
P1, 5, 26, 10, 4
P2, 5, 13, 4, 2
P1, 0, 2, 2, 2
P2, 0, 2, 2, 0
P1, 6, 4, 2, 0
P2, 6, 10, 8, 0
P1, 6, 9, 5, 0
P2, 6, 17, 7, 2
P1, 4, 15, 6, 0
P2, 4, 22, 5, 0
P1, 0, 0, 0, 0
P2, 0, 0, 0, 0
P1, 0, 5, 5, 4
P2, 0, 3, 3, 2
P1, 2, 5, 0, 0
P2, 2, 13, 10, 4
P1, 2, 7, 2, 0
P2, 2, 18, 5, 2
P1, 5, 15, 8, 2
P2, 5, 22, 4, 0
P1, 0, 0, 0, 0
P2, 0, 9, 9, 10
P1, 1, 6, 6, 2
P2, 1, 9, 0, 0
P1, 5, 10, 4, 0
P2, 5, 18, 9, 6
P1, 2, 13, 3, 2
P2, 2, 25, 7, 2
P1, 0, 0, 0, 0
P2, 0, 0, 0, 0
P1, 0, 2, 2, 2
P2, 0, 5, 5, 4
P1, 3, 5, 3, 0
P2, 3, 11, 6, 2
P1, 4, 10, 5, 0
P2, 4, 17, 6, 2
P1, 3, 15, 5, 0
P2, 3, 23, 6, 0
P1, 0, 5, 5, 2
P2, 0, 2, 2, 2
P1, 3, 16, 11, 8
P2, 3, 2, 0, 0
P1, 2, 24, 8, 4
P2, 2, 4, 2, 2
P1, 2, 27, 3, 0
P2, 2, 10, 6, 2
P1, 0, 0, 0, 0
P2, 0, 6, 6, 12
P1, 4, 6, 6, 0
P2, 4, 8, 2, 0
P1, 6, 12, 6, 0
P2, 6, 16, 8, 0
P1, 2, 12, 0, 0
P2, 2, 23, 7, 6
P1, 0, 4, 4, 4
P2, 0, 5, 5, 2
P1, 1, 8, 4, 6
P2, 1, 8, 3, 2
P1, 4, 14, 6, 2
P2, 4, 11, 3, 0
P1, 5, 20, 6, 0
P2, 5, 16, 5, 0
P1, 0, 6, 6, 4
P2, 0, 0, 0, 0
P1, 4, 12, 6, 2
P2, 4, 5, 5, 0
P1, 3, 12, 0, 0
P2, 3, 14, 9, 2
P1, 4, 17, 5, 2
P2, 4, 20, 6, 2
P1, 0, 3, 3, 2
P2, 0, 2, 2, 4
P1, 5, 7, 4, 2
P2, 5, 9, 7, 2
P1, 4, 15, 8, 2
P2, 4, 12, 3, 2
P1, 3, 20, 5, 2
P2, 3, 17, 5, 0
P1, 0, 0, 0, 0
P2, 0, 0, 0, 0
P1, 0, 6, 6, 4
P2, 0, 3, 3, 0
P1, 1, 9, 3, 0
P2, 1, 7, 4, 4
P1, 4, 15, 6, 2
P2, 4, 13, 6, 2
P1, 2, 19, 4, 0
P2, 2, 20, 7, 4
P1, 0, 4, 4, 2
P2, 0, 2, 2, 0
P1, 4, 10, 6, 0
P2, 4, 4, 2, 0
P1, 6, 21, 11, 6
P2, 6, 4, 0, 0
P1, 5, 27, 6, 2
P2, 5, 8, 4, 2
P1, 0, 2, 2, 0
P2, 0, 6, 6, 10
P1, 2, 4, 2, 2
P2, 2, 13, 7, 2
P1, 3, 6, 2, 0
P2, 3, 20, 7, 6
P1, 4, 13, 7, 2
P2, 4, 23, 3, 0
P1, 0, 0, 0, 0
P2, 0, 0, 0, 0
P1, 0, 2, 2, 2
P2, 0, 5, 5, 6
P1, 3, 6, 4, 0
P2, 3, 12, 7, 4
P1, 2, 14, 8, 2
P2, 2, 14, 2, 0
P1, 2, 17, 3, 2
P2, 2, 18, 4, 2
P1, 0, 4, 4, 2
P2, 0, 2, 2, 2
P1, 4, 11, 7, 0
P2, 4, 6, 4, 2
P1, 3, 17, 6, 2
P2, 3, 8, 2, 0
P1, 5, 21, 4, 0
P2, 5, 16, 8, 0
P1, 0, 0, 0, 0
P2, 0, 7, 7, 10
P1, 3, 3, 3, 0
P2, 3, 15, 8, 4
P1, 2, 3, 0, 0
P2, 2, 22, 7, 0
P1, 5, 11, 8, 0
P2, 5, 27, 5, 0
P1, 0, 0, 0, 0
P2, 0, 0, 0, 0
P1, 0, 3, 3, 2
P2, 0, 6, 6, 4
P1, 1, 7, 4, 4
P2, 1, 8, 2, 0
P1, 5, 14, 7, 2
P2, 5, 11, 3, 0
P1, 5, 20, 6, 0
P2, 5, 15, 4, 0
P1, 0, 4, 4, 4
P2, 0, 4, 4, 8
P1, 2, 8, 4, 2
P2, 2, 10, 6, 0
P1, 2, 12, 4, 0
P2, 2, 14, 4, 0
P1, 4, 17, 5, 0
P2, 4, 22, 8, 0
P1, 0, 3, 3, 2
P2, 0, 6, 6, 4
P1, 1, 5, 2, 2
P2, 1, 11, 5, 0
P1, 4, 14, 9, 2
P2, 4, 13, 2, 0
P1, 3, 16, 2, 0
P2, 3, 22, 9, 4
P1, 0, 0, 0, 0
P2, 0, 2, 2, 4
P1, 0, 3, 3, 2
P2, 0, 2, 2, 2
P1, 5, 10, 7, 0
P2, 5, 7, 5, 4
P1, 3, 10, 0, 0
P2, 3, 16, 9, 4
P1, 4, 15, 5, 0
P2, 4, 20, 4, 0
P1, 0, 5, 5, 0
P2, 0, 2, 2, 2
P1, 3, 8, 3, 0
P2, 3, 8, 6, 4
P1, 4, 16, 8, 2
P2, 4, 10, 2, 0
P1, 4, 22, 6, 0
P2, 4, 14, 4, 0
P1, 0, 5, 5, 2
P2, 0, 0, 0, 0
P1, 5, 12, 7, 2
P2, 5, 5, 5, 0
P1, 3, 12, 0, 0
P2, 3, 14, 9, 2
P1, 4, 17, 5, 0
P2, 4, 20, 6, 2
P1, 0, 2, 2, 0
P2, 0, 4, 4, 2
P1, 4, 2, 0, 0
P2, 4, 14, 10, 6
P1, 0, 4, 4, 2
P2, 0, 5, 5, 0
P1, 1, 8, 4, 2
P2, 1, 10, 5, 2
P1, 2, 12, 4, 6
P2, 2, 15, 5, 2
P1, 3, 14, 2, 0
P2, 3, 24, 9, 2
P1, 0, 0, 0, 0
P2, 0, 8, 8, 8
P1, 2, 4, 4, 0
P2, 2, 12, 4, 4
P1, 4, 13, 9, 4
P2, 4, 15, 3, 2
P1, 2, 21, 8, 2
P2, 2, 17, 2, 2
P1, 0, 2, 2, 2
P2, 0, 3, 3, 0
P1, 5, 11, 9, 4
P2, 5, 5, 2, 0
P1, 4, 18, 7, 0
P2, 4, 9, 4, 2
P1, 3, 25, 7, 2
P2, 3, 11, 2, 0
P1, 0, 0, 0, 0
P2, 0, 0, 0, 0
P1, 0, 6, 6, 4
P2, 0, 0, 0, 0
P1, 4, 13, 7, 0
P2, 4, 2, 2, 0
P1, 5, 19, 6, 2
P2, 5, 6, 4, 2
P1, 5, 25, 6, 0
P2, 5, 13, 7, 2
P1, 0, 2, 2, 0
P2, 0, 5, 5, 0
P1, 3, 6, 4, 0
P2, 3, 13, 8, 2
P1, 1, 6, 0, 0
P2, 1, 22, 9, 6
P1, 2, 11, 5, 4
P2, 2, 25, 3, 2
P1, 0, 2, 2, 2
P2, 0, 3, 3, 2
P1, 5, 6, 4, 0
P2, 5, 10, 7, 2
P1, 4, 10, 4, 2
P2, 4, 17, 7, 2
P1, 3, 16, 6, 0
P2, 3, 21, 4, 2
P1, 0, 5, 5, 0
P2, 0, 2, 2, 0
P1, 3, 12, 7, 2
P2, 3, 4, 2, 0
P1, 4, 22, 10, 0
P2, 4, 6, 2, 0
P1, 2, 27, 5, 2
P2, 2, 8, 2, 0
P1, 0, 0, 0, 0
P2, 0, 0, 0, 0
P1, 0, 4, 4, 0
P2, 0, 5, 5, 0
P1, 1, 6, 2, 2
P2, 1, 10, 5, 2
P1, 4, 10, 4, 0
P2, 4, 15, 5, 0
P1, 5, 12, 2, 0
P2, 5, 26, 11, 2
P1, 0, 6, 6, 2
P2, 0, 0, 0, 0
P1, 4, 12, 6, 0
P2, 4, 5, 5, 0
P1, 3, 15, 3, 0
P2, 3, 9, 4, 2
P1, 6, 23, 8, 0
P2, 6, 17, 8, 6
P1, 0, 3, 3, 0
P2, 0, 5, 5, 6
P1, 2, 9, 6, 2
P2, 2, 7, 2, 2
P1, 4, 11, 2, 0
P2, 4, 16, 9, 0
P1, 3, 17, 6, 0
P2, 3, 20, 4, 0
P1, 0, 4, 4, 0
P2, 0, 2, 2, 0
P1, 4, 7, 3, 0
P2, 4, 8, 6, 2
P1, 0, 5, 5, 0
P2, 0, 2, 2, 0
P1, 3, 8, 3, 2
P2, 3, 8, 6, 2
P1, 4, 10, 2, 0
P2, 4, 16, 8, 2
P1, 4, 18, 8, 0
P2, 4, 18, 2, 0
P1, 0, 0, 0, 0
P2, 0, 5, 5, 2
P1, 5, 7, 7, 2
P2, 5, 10, 5, 2
P1, 3, 10, 3, 2
P2, 3, 19, 9, 4
P1, 1, 15, 5, 2
P2, 1, 21, 2, 2
P1, 0, 2, 2, 0
P2, 0, 2, 2, 2
P1, 6, 6, 4, 0
P2, 6, 9, 7, 2
P1, 5, 13, 7, 0
P2, 5, 14, 5, 0
P1, 3, 18, 5, 0
P2, 3, 18, 4, 0
P1, 0, 3, 3, 0
P2, 0, 5, 5, 4
P1, 2, 6, 3, 0
P2, 2, 11, 6, 2
P1, 3, 9, 3, 0
P2, 3, 18, 7, 2
P1, 3, 11, 2, 0
P2, 3, 26, 8, 4
P1, 0, 0, 0, 0
P2, 0, 0, 0, 0
P1, 0, 5, 5, 0
P2, 0, 0, 0, 0
P1, 5, 10, 5, 0
P2, 5, 4, 4, 6
P1, 6, 17, 7, 2
P2, 6, 8, 4, 4
P1, 5, 20, 3, 0
P2, 5, 18, 10, 4
P1, 0, 2, 2, 2
P2, 0, 6, 6, 4
P1, 2, 6, 4, 0
P2, 2, 13, 7, 0
P1, 1, 15, 9, 4
P2, 1, 13, 0, 0
P1, 2, 21, 6, 2
P2, 2, 15, 2, 0
P1, 0, 2, 2, 0
P2, 0, 4, 4, 4
P1, 4, 6, 4, 0
P2, 4, 10, 6, 2
P1, 4, 14, 8, 0
P2, 4, 12, 2, 0
P1, 4, 16, 2, 0
P2, 4, 22, 10, 4
P1, 0, 4, 4, 2
P2, 0, 3, 3, 2
P1, 3, 4, 0, 0
P2, 3, 6, 3, 2
P1, 0, 0, 0, 0
P2, 0, 4, 4, 4
P1, 6, 7, 7, 2
P2, 6, 10, 6, 2
P1, 3, 11, 4, 2
P2, 3, 18, 8, 4
P1, 1, 13, 2, 0
P2, 1, 24, 6, 4
P1, 0, 3, 3, 2
P2, 0, 4, 4, 8
P1, 3, 5, 2, 0
P2, 3, 14, 10, 2
P1, 1, 5, 0, 0
P2, 1, 20, 6, 4
P1, 5, 9, 4, 0
P2, 5, 23, 3, 2
P1, 0, 0, 0, 0
P2, 0, 7, 7, 2
P1, 3, 7, 7, 2
P2, 3, 9, 2, 0
P1, 4, 13, 6, 0
P2, 4, 14, 5, 0
P1, 3, 16, 3, 0
P2, 3, 23, 9, 2
P1, 0, 4, 4, 4
P2, 0, 5, 5, 4
P1, 1, 9, 5, 2
P2, 1, 11, 6, 2
P1, 0, 11, 2, 2
P2, 0, 16, 5, 4
P1, 3, 16, 5, 0
P2, 3, 20, 4, 4
P1, 0, 5, 5, 2
P2, 0, 2, 2, 4
P1, 3, 7, 2, 0
P2, 3, 10, 8, 2
P1, 3, 13, 6, 0
P2, 3, 10, 0, 0
P1, 7, 22, 9, 0
P2, 7, 15, 5, 0
P1, 0, 2, 2, 2
P2, 0, 5, 5, 0
P1, 3, 2, 0, 0
P2, 3, 10, 5, 2
P1, 0, 4, 4, 2
P2, 0, 3, 3, 0
P1, 3, 10, 6, 2
P2, 3, 9, 6, 2
P1, 1, 14, 4, 6
P2, 1, 13, 4, 2
P1, 3, 19, 5, 0
P2, 3, 20, 7, 2
P1, 0, 2, 2, 2
P2, 0, 2, 2, 4
P1, 6, 12, 10, 2
P2, 6, 5, 3, 2
P1, 3, 19, 7, 0
P2, 3, 7, 2, 2
P1, 4, 23, 4, 0
P2, 4, 10, 3, 2
P1, 0, 4, 4, 4
P2, 0, 2, 2, 4
P1, 4, 8, 4, 2
P2, 4, 7, 5, 0
P1, 5, 14, 6, 0
P2, 5, 10, 3, 2
P1, 6, 21, 7, 2
P2, 6, 14, 4, 0
P1, 0, 0, 0, 0
P2, 0, 7, 7, 4
P1, 3, 2, 2, 0
P2, 3, 15, 8, 0
P1, 3, 9, 7, 0
P2, 3, 19, 4, 0
P1, 2, 14, 5, 0
P2, 2, 24, 5, 0
P1, 0, 0, 0, 0
P2, 0, 0, 0, 0
P1, 0, 7, 7, 8
P2, 0, 0, 0, 0
P1, 3, 15, 8, 6
P2, 3, 4, 4, 0
P1, 1, 17, 2, 2
P2, 1, 8, 4, 4
P1, 5, 22, 5, 0
P2, 5, 14, 6, 0
P1, 0, 4, 4, 2
P2, 0, 0, 0, 0
P1, 6, 16, 12, 2
P2, 6, 2, 2, 0
P1, 2, 18, 2, 0
P2, 2, 9, 7, 4
P1, 3, 21, 3, 0
P2, 3, 17, 8, 4
P1, 0, 4, 4, 2
P2, 0, 0, 0, 0
P1, 6, 6, 2, 0
P2, 6, 11, 11, 2
P1, 3, 9, 3, 0
P2, 3, 20, 9, 4
P1, 1, 13, 4, 2
P2, 1, 27, 7, 4
